CORR_ANS,item_X,tripletid,file_X,onset_X,offset_X,word_X,speaker_X,CV_X,context_X,phone_X,distance_OTH,CV_OTH,context_OTH,file_OTH,item_OTH,offset_OTH,onset_OTH,phone_OTH,speaker_OTH,word_OTH,distance_TGT,CV_TGT,context_TGT,file_TGT,item_TGT,offset_TGT,onset_TGT,phone_TGT,speaker_TGT,word_TGT
B,ewan_76,stimulus74_B,ewan.wav,224.3325,224.8825,AFAH,ewan,C,A,f,16.0473798462929,C,A,amelia_consonants.wav,amelia_consonants_34,92.1125,91.35499,s,amelia,ASSAH,15.7201355846077,C,A,amelia_consonants.wav,amelia_consonants_28,75.17926,74.47714,f,amelia,AFAH
B,ewan_87,stimulus75_B,ewan.wav,254.4625,255.0425,EESSEE,ewan,C,I,s,16.410087943232,C,I,amelia_consonants.wav,amelia_consonants_30,81.0525,80.3525,f,amelia,EEFEE,15.7550400599105,C,I,amelia_consonants.wav,amelia_consonants_39,104.88504,104.21429,s,amelia,EESSEE
A,amelia_consonants_34,stimulus76_A,amelia_consonants.wav,91.35499,92.1125,ASSAH,amelia,C,A,s,16.0473798462929,C,A,ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH,16.000560473951,C,A,ewan.wav,ewan_82,242.2825,241.7525,s,ewan,ASSAH
A,ewan_76,stimulus77_A,ewan.wav,224.3325,224.8825,AFAH,ewan,C,A,f,14.097104561023,C,A,amelia_consonants.wav,amelia_consonants_50,132.8825,132.2225,θ,amelia,ATHAH,15.7201355846077,C,A,amelia_consonants.wav,amelia_consonants_28,75.17926,74.47714,f,amelia,AFAH
B,amelia_consonants_28,stimulus78_B,amelia_consonants.wav,74.47714,75.17926,AFAH,amelia,C,A,f,15.6518411936541,C,A,ewan.wav,ewan_98,282.7725,282.1625,θ,ewan,ATHAH,15.7201355846077,C,A,ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH
B,ewan_103,stimulus79_B,ewan.wav,295.1025,295.6425,EETHEE,ewan,C,I,θ,15.8578332710508,C,I,amelia_consonants.wav,amelia_consonants_30,81.0525,80.3525,f,amelia,EEFEE,16.2884812244323,C,I,amelia_consonants.wav,amelia_consonants_55,145.8925,145.1325,θ,amelia,EETHEE
A,amelia_consonants_55,stimulus80_A,amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ,14.7871272351062,C,I,ewan.wav,ewan_78,231.0925,230.5525,f,ewan,EEFEE,16.2884812244323,C,I,ewan.wav,ewan_103,295.6425,295.1025,θ,ewan,EETHEE
A,amelia_consonants_30,stimulus81_A,amelia_consonants.wav,80.3525,81.0525,EEFEE,amelia,C,I,f,15.1851608308593,C,I,ewan.wav,ewan_63,188.3425,187.7525,t,ewan,EETEE,14.8626260998063,C,I,ewan.wav,ewan_78,231.0925,230.5525,f,ewan,EEFEE
B,ewan_78,stimulus82_B,ewan.wav,230.5525,231.0925,EEFEE,ewan,C,I,f,17.299949028333,C,I,amelia_consonants.wav,amelia_consonants_15,39.6784,39.06797,t,amelia,EETEE,14.8626260998063,C,I,amelia_consonants.wav,amelia_consonants_30,81.0525,80.3525,f,amelia,EEFEE
B,ewan_58,stimulus83_B,ewan.wav,174.5225,175.0425,ATAH,ewan,C,A,t,18.8648364598327,C,A,amelia_consonants.wav,amelia_consonants_28,75.17926,74.47714,f,amelia,AFAH,17.2440783265545,C,A,amelia_consonants.wav,amelia_consonants_10,26.41988,25.79256,t,amelia,ATAH
A,amelia_consonants_10,stimulus84_A,amelia_consonants.wav,25.79256,26.41988,ATAH,amelia,C,A,t,16.5911186194661,C,A,ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH,17.208298384723,C,A,ewan.wav,ewan_58,175.0425,174.5225,t,ewan,ATAH
A,amelia_consonants_22,stimulus85_A,amelia_consonants.wav,58.98421,59.674519999999994,EEKEE,amelia,C,I,k,16.620538709765,C,I,ewan.wav,ewan_55,166.9025,166.2925,p,ewan,EEPEE,14.5552436400816,C,I,ewan.wav,ewan_70,208.7325,208.1525,k,ewan,EEKEE
B,amelia_consonants_20,stimulus86_B,amelia_consonants.wav,53.0271,53.6525,AKAH,amelia,C,A,k,18.0439165552814,C,A,ewan.wav,ewan_50,153.4425,152.8525,p,ewan,APAH,16.6591845234018,C,A,ewan.wav,ewan_68,201.7625,201.2425,k,ewan,AKAH
B,ewan_55,stimulus87_B,ewan.wav,166.2925,166.9025,EEPEE,ewan,C,I,p,16.620538709765,C,I,amelia_consonants.wav,amelia_consonants_22,59.67452,58.98421,k,amelia,EEKEE,15.9804922541978,C,I,amelia_consonants.wav,amelia_consonants_7,18.54394,17.98056,p,amelia,EEPEE
A,ewan_50,stimulus88_A,ewan.wav,152.8525,153.4425,APAH,ewan,C,A,p,18.0439165552814,C,A,amelia_consonants.wav,amelia_consonants_20,53.6525,53.0271,k,amelia,AKAH,15.6981158980124,C,A,amelia_consonants.wav,amelia_consonants_2,5.58607,5.00997,p,amelia,APAH
A,ewan_70,stimulus89_A,ewan.wav,208.1525,208.7325,EEKEE,ewan,C,I,k,13.7898608943582,C,I,amelia_consonants.wav,amelia_consonants_47,124.8925,124.1225,ʃ,amelia,EESHEE,14.5552436400816,C,I,amelia_consonants.wav,amelia_consonants_22,59.67452,58.98421,k,amelia,EEKEE
B,amelia_consonants_22,stimulus90_B,amelia_consonants.wav,58.98421,59.674519999999994,EEKEE,amelia,C,I,k,22.1593826150711,C,I,ewan.wav,ewan_95,274.9925,274.4625,ʃ,ewan,EESHEE,14.5552436400816,C,I,ewan.wav,ewan_70,208.7325,208.1525,k,ewan,EEKEE
B,ewan_90,stimulus91_B,ewan.wav,261.8925,262.4725,ASHAH,ewan,C,A,ʃ,22.8189591569109,C,A,amelia_consonants.wav,amelia_consonants_20,53.6525,53.0271,k,amelia,AKAH,14.0301734274102,C,A,amelia_consonants.wav,amelia_consonants_42,112.9325,112.2325,ʃ,amelia,ASHAH
A,amelia_consonants_42,stimulus92_A,amelia_consonants.wav,112.2325,112.9325,ASHAH,amelia,C,A,ʃ,17.2357182963343,C,A,ewan.wav,ewan_68,201.7625,201.2425,k,ewan,AKAH,14.0301734274102,C,A,ewan.wav,ewan_90,262.4725,261.8925,ʃ,ewan,ASHAH
A,ewan_70,stimulus93_A,ewan.wav,208.1525,208.7325,EEKEE,ewan,C,I,k,15.10580968662,C,I,amelia_consonants.wav,amelia_consonants_39,104.88504,104.21429,s,amelia,EESSEE,14.5552436400816,C,I,amelia_consonants.wav,amelia_consonants_22,59.67452,58.98421,k,amelia,EEKEE
B,amelia_consonants_22,stimulus94_B,amelia_consonants.wav,58.98421,59.674519999999994,EEKEE,amelia,C,I,k,20.5743189247629,C,I,ewan.wav,ewan_87,255.0425,254.4625,s,ewan,EESSEE,14.5552436400816,C,I,ewan.wav,ewan_70,208.7325,208.1525,k,ewan,EEKEE
B,ewan_82,stimulus95_B,ewan.wav,241.7525,242.2825,ASSAH,ewan,C,A,s,20.447010015957,C,A,amelia_consonants.wav,amelia_consonants_20,53.6525,53.0271,k,amelia,AKAH,16.000560473951,C,A,amelia_consonants.wav,amelia_consonants_34,92.1125,91.35499,s,amelia,ASSAH
A,amelia_consonants_34,stimulus96_A,amelia_consonants.wav,91.35499,92.1125,ASSAH,amelia,C,A,s,17.7786470949564,C,A,ewan.wav,ewan_68,201.7625,201.2425,k,ewan,AKAH,16.000560473951,C,A,ewan.wav,ewan_82,242.2825,241.7525,s,ewan,ASSAH
A,ewan_68,stimulus97_A,ewan.wav,201.2425,201.7625,AKAH,ewan,C,A,k,18.3211634147589,C,A,amelia_consonants.wav,amelia_consonants_50,132.8825,132.2225,θ,amelia,ATHAH,16.6591845234018,C,A,amelia_consonants.wav,amelia_consonants_20,53.6525,53.0271,k,amelia,AKAH
B,amelia_consonants_20,stimulus98_B,amelia_consonants.wav,53.0271,53.6525,AKAH,amelia,C,A,k,18.9070632242111,C,A,ewan.wav,ewan_98,282.7725,282.1625,θ,ewan,ATHAH,16.6591845234018,C,A,ewan.wav,ewan_68,201.7625,201.2425,k,ewan,AKAH
B,amelia_consonants_55,stimulus99_B,amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ,13.8609668439037,C,I,ewan.wav,ewan_70,208.7325,208.1525,k,ewan,EEKEE,16.2884812244323,C,I,ewan.wav,ewan_103,295.6425,295.1025,θ,ewan,EETHEE
A,ewan_103,stimulus100_A,ewan.wav,295.1025,295.6425,EETHEE,ewan,C,I,θ,19.9854685271393,C,I,amelia_consonants.wav,amelia_consonants_22,59.67452,58.98421,k,amelia,EEKEE,16.2884812244323,C,I,amelia_consonants.wav,amelia_consonants_55,145.8925,145.1325,θ,amelia,EETHEE
A,ewan_70,stimulus101_A,ewan.wav,208.1525,208.7325,EEKEE,ewan,C,I,k,14.6475599030279,C,I,amelia_consonants.wav,amelia_consonants_15,39.6784,39.06797,t,amelia,EETEE,14.5552436400816,C,I,amelia_consonants.wav,amelia_consonants_22,59.67452,58.98421,k,amelia,EEKEE
B,amelia_consonants_20,stimulus102_B,amelia_consonants.wav,53.0271,53.6525,AKAH,amelia,C,A,k,18.8390729443911,C,A,ewan.wav,ewan_58,175.0425,174.5225,t,ewan,ATAH,16.6591845234018,C,A,ewan.wav,ewan_68,201.7625,201.2425,k,ewan,AKAH
B,ewan_58,stimulus103_B,ewan.wav,174.5225,175.0425,ATAH,ewan,C,A,t,18.8215215562532,C,A,amelia_consonants.wav,amelia_consonants_20,53.6525,53.0271,k,amelia,AKAH,17.2440783265545,C,A,amelia_consonants.wav,amelia_consonants_10,26.41988,25.79256,t,amelia,ATAH
A,amelia_consonants_15,stimulus104_A,amelia_consonants.wav,39.06797,39.6784,EETEE,amelia,C,I,t,14.6475599030279,C,I,ewan.wav,ewan_70,208.7325,208.1525,k,ewan,EEKEE,13.6142465665007,C,I,ewan.wav,ewan_63,188.3425,187.7525,t,ewan,EETEE
A,ewan_54,stimulus105_A,ewan.wav,163.7625,164.3725,EEPEE,ewan,C,I,p,15.6006036602907,C,I,amelia_consonants.wav,amelia_consonants_47,124.8925,124.1225,ʃ,amelia,EESHEE,13.2705881554694,C,I,amelia_consonants.wav,amelia_consonants_6,16.26261,15.68234,p,amelia,EEPEE
B,amelia_consonants_4,stimulus106_B,amelia_consonants.wav,9.59178,10.170639999999999,APAH,amelia,C,A,p,21.1937889355194,C,A,ewan.wav,ewan_90,262.4725,261.8925,ʃ,ewan,ASHAH,15.4494194928913,C,A,ewan.wav,ewan_52,158.9425,158.3825,p,ewan,APAH
B,amelia_consonants_47,stimulus107_B,amelia_consonants.wav,124.1225,124.8925,EESHEE,amelia,C,I,ʃ,15.6006036602907,C,I,ewan.wav,ewan_54,164.3725,163.7625,p,ewan,EEPEE,14.6825591132344,C,I,ewan.wav,ewan_95,274.9925,274.4625,ʃ,ewan,EESHEE
A,ewan_90,stimulus108_A,ewan.wav,261.8925,262.4725,ASHAH,ewan,C,A,ʃ,21.1937889355194,C,A,amelia_consonants.wav,amelia_consonants_4,10.17064,9.59178,p,amelia,APAH,14.0301734274102,C,A,amelia_consonants.wav,amelia_consonants_42,112.9325,112.2325,ʃ,amelia,ASHAH
A,amelia_consonants_4,stimulus109_A,amelia_consonants.wav,9.59178,10.170639999999999,APAH,amelia,C,A,p,18.6930191123978,C,A,ewan.wav,ewan_82,242.2825,241.7525,s,ewan,ASSAH,15.4494194928913,C,A,ewan.wav,ewan_52,158.9425,158.3825,p,ewan,APAH
B,amelia_consonants_6,stimulus110_B,amelia_consonants.wav,15.68234,16.262610000000002,EEPEE,amelia,C,I,p,20.0978337725694,C,I,ewan.wav,ewan_87,255.0425,254.4625,s,ewan,EESSEE,13.2705881554694,C,I,ewan.wav,ewan_54,164.3725,163.7625,p,ewan,EEPEE
B,ewan_82,stimulus111_B,ewan.wav,241.7525,242.2825,ASSAH,ewan,C,A,s,18.6634432044552,C,A,amelia_consonants.wav,amelia_consonants_4,10.17064,9.59178,p,amelia,APAH,16.000560473951,C,A,amelia_consonants.wav,amelia_consonants_34,92.1125,91.35499,s,amelia,ASSAH
A,ewan_87,stimulus112_A,ewan.wav,254.4625,255.0425,EESSEE,ewan,C,I,s,20.432364881387,C,I,amelia_consonants.wav,amelia_consonants_6,16.26261,15.68234,p,amelia,EEPEE,15.7550400599105,C,I,amelia_consonants.wav,amelia_consonants_39,104.88504,104.21429,s,amelia,EESSEE
A,ewan_52,stimulus113_A,ewan.wav,158.3825,158.9425,APAH,ewan,C,A,p,17.6962401203888,C,A,amelia_consonants.wav,amelia_consonants_50,132.8825,132.2225,θ,amelia,ATHAH,15.4494194928913,C,A,amelia_consonants.wav,amelia_consonants_4,10.17064,9.59178,p,amelia,APAH
B,ewan_54,stimulus114_B,ewan.wav,163.7625,164.3725,EEPEE,ewan,C,I,p,16.7477002526723,C,I,amelia_consonants.wav,amelia_consonants_55,145.8925,145.1325,θ,amelia,EETHEE,13.2705881554694,C,I,amelia_consonants.wav,amelia_consonants_6,16.26261,15.68234,p,amelia,EEPEE
B,amelia_consonants_55,stimulus115_B,amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ,16.7477002526723,C,I,ewan.wav,ewan_54,164.3725,163.7625,p,ewan,EEPEE,16.2884812244323,C,I,ewan.wav,ewan_103,295.6425,295.1025,θ,ewan,EETHEE
A,amelia_consonants_50,stimulus116_A,amelia_consonants.wav,132.2225,132.8825,ATHAH,amelia,C,A,θ,17.6962401203888,C,A,ewan.wav,ewan_52,158.9425,158.3825,p,ewan,APAH,15.6083657511014,C,A,ewan.wav,ewan_98,282.7725,282.1625,θ,ewan,ATHAH
A,amelia_consonants_6,stimulus117_A,amelia_consonants.wav,15.68234,16.262610000000002,EEPEE,amelia,C,I,p,15.2007008712043,C,I,ewan.wav,ewan_63,188.3425,187.7525,t,ewan,EETEE,13.2705881554694,C,I,ewan.wav,ewan_54,164.3725,163.7625,p,ewan,EEPEE
B,ewan_54,stimulus118_B,ewan.wav,163.7625,164.3725,EEPEE,ewan,C,I,p,14.4355207555205,C,I,amelia_consonants.wav,amelia_consonants_15,39.6784,39.06797,t,amelia,EETEE,13.2705881554694,C,I,amelia_consonants.wav,amelia_consonants_6,16.26261,15.68234,p,amelia,EEPEE
B,amelia_consonants_10,stimulus119_B,amelia_consonants.wav,25.79256,26.41988,ATAH,amelia,C,A,t,17.3673708570907,C,A,ewan.wav,ewan_52,158.9425,158.3825,p,ewan,APAH,17.208298384723,C,A,ewan.wav,ewan_58,175.0425,174.5225,t,ewan,ATAH
A,ewan_58,stimulus120_A,ewan.wav,174.5225,175.0425,ATAH,ewan,C,A,t,16.0265429012901,C,A,amelia_consonants.wav,amelia_consonants_4,10.17064,9.59178,p,amelia,APAH,17.2440783265545,C,A,amelia_consonants.wav,amelia_consonants_10,26.41988,25.79256,t,amelia,ATAH
A,ewan_94,stimulus121_A,ewan.wav,271.9525,272.5425,EESHEE,ewan,C,I,ʃ,18.0654909556778,C,I,amelia_consonants.wav,amelia_consonants_39,104.88504,104.21429,s,amelia,EESSEE,13.7035984061307,C,I,amelia_consonants.wav,amelia_consonants_46,122.6025,121.8625,ʃ,amelia,EESHEE
B,amelia_consonants_44,stimulus122_B,amelia_consonants.wav,116.4925,117.1625,ASHAH,amelia,C,A,ʃ,15.2258464911486,C,A,ewan.wav,ewan_82,242.2825,241.7525,s,ewan,ASSAH,16.8456364285397,C,A,ewan.wav,ewan_92,267.2825,266.7625,ʃ,ewan,ASHAH
B,amelia_consonants_39,stimulus123_B,amelia_consonants.wav,104.21429,104.88503999999999,EESSEE,amelia,C,I,s,18.0654909556778,C,I,ewan.wav,ewan_94,272.5425,271.9525,ʃ,ewan,EESHEE,15.7550400599105,C,I,ewan.wav,ewan_87,255.0425,254.4625,s,ewan,EESSEE
A,ewan_82,stimulus124_A,ewan.wav,241.7525,242.2825,ASSAH,ewan,C,A,s,15.2258464911486,C,A,amelia_consonants.wav,amelia_consonants_44,117.1625,116.4925,ʃ,amelia,ASHAH,16.000560473951,C,A,amelia_consonants.wav,amelia_consonants_34,92.1125,91.35499,s,amelia,ASSAH
A,ewan_92,stimulus125_A,ewan.wav,266.7625,267.2825,ASHAH,ewan,C,A,ʃ,20.3236192392402,C,A,amelia_consonants.wav,amelia_consonants_50,132.8825,132.2225,θ,amelia,ATHAH,16.8456364285397,C,A,amelia_consonants.wav,amelia_consonants_44,117.1625,116.4925,ʃ,amelia,ASHAH
B,amelia_consonants_46,stimulus126_B,amelia_consonants.wav,121.8625,122.6025,EESHEE,amelia,C,I,ʃ,14.2859727635852,C,I,ewan.wav,ewan_103,295.6425,295.1025,θ,ewan,EETHEE,13.7035984061307,C,I,ewan.wav,ewan_94,272.5425,271.9525,ʃ,ewan,EESHEE
B,amelia_consonants_50,stimulus127_B,amelia_consonants.wav,132.2225,132.8825,ATHAH,amelia,C,A,θ,20.3236192392402,C,A,ewan.wav,ewan_92,267.2825,266.7625,ʃ,ewan,ASHAH,15.6083657511014,C,A,ewan.wav,ewan_98,282.7725,282.1625,θ,ewan,ATHAH
A,ewan_103,stimulus128_A,ewan.wav,295.1025,295.6425,EETHEE,ewan,C,I,θ,14.2859727635852,C,I,amelia_consonants.wav,amelia_consonants_46,122.6025,121.8625,ʃ,amelia,EESHEE,16.2884812244323,C,I,amelia_consonants.wav,amelia_consonants_55,145.8925,145.1325,θ,amelia,EETHEE
A,amelia_consonants_46,stimulus129_A,amelia_consonants.wav,121.8625,122.6025,EESHEE,amelia,C,I,ʃ,13.4757437318013,C,I,ewan.wav,ewan_63,188.3425,187.7525,t,ewan,EETEE,13.7035984061307,C,I,ewan.wav,ewan_94,272.5425,271.9525,ʃ,ewan,EESHEE
B,ewan_92,stimulus130_B,ewan.wav,266.7625,267.2825,ASHAH,ewan,C,A,ʃ,19.2145730761503,C,A,amelia_consonants.wav,amelia_consonants_10,26.41988,25.79256,t,amelia,ATAH,16.8456364285397,C,A,amelia_consonants.wav,amelia_consonants_44,117.1625,116.4925,ʃ,amelia,ASHAH
B,amelia_consonants_10,stimulus131_B,amelia_consonants.wav,25.79256,26.41988,ATAH,amelia,C,A,t,19.2145730761503,C,A,ewan.wav,ewan_92,267.2825,266.7625,ʃ,ewan,ASHAH,17.208298384723,C,A,ewan.wav,ewan_58,175.0425,174.5225,t,ewan,ATAH
A,ewan_63,stimulus132_A,ewan.wav,187.7525,188.3425,EETEE,ewan,C,I,t,13.5104945183004,C,I,amelia_consonants.wav,amelia_consonants_46,122.6025,121.8625,ʃ,amelia,EESHEE,13.6142465665007,C,I,amelia_consonants.wav,amelia_consonants_15,39.6784,39.06797,t,amelia,EETEE
A,amelia_consonants_38,stimulus133_A,amelia_consonants.wav,101.9725,102.63328,EESSEE,amelia,C,I,s,14.7134767707561,C,I,ewan.wav,ewan_103,295.6425,295.1025,θ,ewan,EETHEE,14.1327379303854,C,I,ewan.wav,ewan_86,252.5325,252.0025,s,ewan,EESSEE
B,amelia_consonants_36,stimulus134_B,amelia_consonants.wav,96.17156999999999,96.8425,ASSAH,amelia,C,A,s,15.4526699443962,C,A,ewan.wav,ewan_98,282.7725,282.1625,θ,ewan,ATHAH,15.2337007799558,C,A,ewan.wav,ewan_84,247.3725,246.8625,s,ewan,ASSAH
B,ewan_103,stimulus135_B,ewan.wav,295.1025,295.6425,EETHEE,ewan,C,I,θ,14.7134767707561,C,I,amelia_consonants.wav,amelia_consonants_38,102.63328,101.9725,s,amelia,EESSEE,16.2884812244323,C,I,amelia_consonants.wav,amelia_consonants_55,145.8925,145.1325,θ,amelia,EETHEE
A,ewan_98,stimulus136_A,ewan.wav,282.1625,282.7725,ATHAH,ewan,C,A,θ,15.4526699443962,C,A,amelia_consonants.wav,amelia_consonants_36,96.8425,96.17157,s,amelia,ASSAH,15.6083657511014,C,A,amelia_consonants.wav,amelia_consonants_50,132.8825,132.2225,θ,amelia,ATHAH
A,ewan_84,stimulus137_A,ewan.wav,246.8625,247.3725,ASSAH,ewan,C,A,s,16.9031307213426,C,A,amelia_consonants.wav,amelia_consonants_10,26.41988,25.79256,t,amelia,ATAH,15.254985729172,C,A,amelia_consonants.wav,amelia_consonants_36,96.8425,96.17157,s,amelia,ASSAH
B,amelia_consonants_38,stimulus138_B,amelia_consonants.wav,101.9725,102.63328,EESSEE,amelia,C,I,s,14.7257135267578,C,I,ewan.wav,ewan_63,188.3425,187.7525,t,ewan,EETEE,14.1327379303854,C,I,ewan.wav,ewan_86,252.5325,252.0025,s,ewan,EESSEE
B,ewan_63,stimulus139_B,ewan.wav,187.7525,188.3425,EETEE,ewan,C,I,t,14.7257135267578,C,I,amelia_consonants.wav,amelia_consonants_38,102.63328,101.9725,s,amelia,EESSEE,13.6142465665007,C,I,amelia_consonants.wav,amelia_consonants_15,39.6784,39.06797,t,amelia,EETEE
A,amelia_consonants_10,stimulus140_A,amelia_consonants.wav,25.79256,26.41988,ATAH,amelia,C,A,t,16.9031307213426,C,A,ewan.wav,ewan_84,247.3725,246.8625,s,ewan,ASSAH,17.208298384723,C,A,ewan.wav,ewan_58,175.0425,174.5225,t,ewan,ATAH
A,ewan_102,stimulus141_A,ewan.wav,292.5625,293.1425,EETHEE,ewan,C,I,θ,17.9999058595867,C,I,amelia_consonants.wav,amelia_consonants_15,39.6784,39.06797,t,amelia,EETEE,13.141717739239,C,I,amelia_consonants.wav,amelia_consonants_54,143.47846,142.7325,θ,amelia,EETHEE
B,amelia_consonants_54,stimulus142_B,amelia_consonants.wav,142.7325,143.47846,EETHEE,amelia,C,I,θ,15.4870174690283,C,I,ewan.wav,ewan_63,188.3425,187.7525,t,ewan,EETEE,13.141717739239,C,I,ewan.wav,ewan_102,293.1425,292.5625,θ,ewan,EETHEE
B,amelia_consonants_10,stimulus143_B,amelia_consonants.wav,25.79256,26.41988,ATAH,amelia,C,A,t,16.268515734355,C,A,ewan.wav,ewan_100,287.7725,287.2125,θ,ewan,ATHAH,17.208298384723,C,A,ewan.wav,ewan_58,175.0425,174.5225,t,ewan,ATAH
A,ewan_58,stimulus144_A,ewan.wav,174.5225,175.0425,ATAH,ewan,C,A,t,18.2088905704304,C,A,amelia_consonants.wav,amelia_consonants_52,137.43495,136.7525,θ,amelia,ATHAH,17.2440783265545,C,A,amelia_consonants.wav,amelia_consonants_10,26.41988,25.79256,t,amelia,ATAH
