tripletid,file_TGT,onset_TGT,offset_TGT,file_OTH,onset_OTH,offset_OTH,file_X,onset_X,offset_X,presentation_order,Practice,phoneitem_id_TGT,phone1_TGT,Target phone,phone3_TGT,talker_TGT,sex_TGT,dialect_TGT,phoneitem_id_OTH,phone1_OTH,Other phone,phone3_OTH,talker_OTH,sex_OTH,dialect_OTH,phoneitem_id_X,phone1_X,phone2_X,phone3_X,talker_X,sex_X,dialect_X,Block
t00000050941,TRAIN/DR6/FHXS0/SI2335,2.0689,2.3586,TRAIN/DR6/FHXS0/SX355,2.2036,2.4421,TEST/DR5/MBPM0/SX47,0.115,0.3816,AB,FALSE,i161067,m,aa,m,FHXS0,F,DR6,i161117,m,ae,m,FHXS0,F,DR6,i30731,m,aa,m,MBPM0,M,DR5,B1
t00000105620,TRAIN/DR7/MTML0/SX435,1.5925,1.8589,TRAIN/DR7/MTML0/SX75,0.6206,0.8334,TRAIN/DR7/MKDB0/SX62,0.3275,0.5511,AB,FALSE,i145924,k,aa,n,MTML0,M,DR7,i146038,k,ae,n,MTML0,M,DR7,i140961,k,aa,n,MKDB0,M,DR7,B2
t00000105963,TRAIN/DR7/MJFR0/SX435,2.2425,2.7287,TRAIN/DR7/MJFR0/SX75,0.6725,0.9286,TRAIN/DR6/MSAT1/SX353,0.1939,0.4825,AB,FALSE,i137024,k,aa,n,MJFR0,M,DR7,i137166,k,ae,n,MJFR0,M,DR7,i165116,k,aa,n,MSAT1,M,DR6,B3
t00000095760,TRAIN/DR2/FJKL0/SI932,2.1825,2.4759,TRAIN/DR2/FJKL0/SX392,0.9347,1.1566,TRAIN/DR4/MLJC0/SX55,0.8789,1.0684,BA,FALSE,i90917,k,aa,m,FJKL0,F,DR2,i90972,k,ae,m,FJKL0,F,DR2,i54456,k,aa,m,MLJC0,M,DR4,B1
t00000075973,TRAIN/DR4/MARW0/SI646,1.3325,1.5825,TRAIN/DR4/MARW0/SX286,2.06,2.3089,TEST/DR4/MBNS0/SX50,0.4934,0.7258,BA,FALSE,i56898,r,aa,f,MARW0,M,DR4,i56707,r,ae,f,MARW0,M,DR4,i7672,r,aa,f,MBNS0,M,DR4,B2
t00000000425,TEST/DR6/FLNH0/SI941,3.7991,4.1225,TEST/DR6/FLNH0/SI584,0.4804,0.7519,TEST/DR1/FDAC1/SX304,1.0802,1.53,BA,FALSE,i40162,t,aa,k,FLNH0,F,DR6,i40196,t,ae,k,FLNH0,F,DR6,i44329,t,aa,k,FDAC1,F,DR1,B3
t00000017157,TRAIN/DR7/FBLV0/SA1,0.6971,0.9321,TRAIN/DR7/FBLV0/SX338,2.0341,2.2167,TRAIN/DR2/MDWD0/SA1,0.6525,0.8525,AB,FALSE,i136018,d,aa,r,FBLV0,F,DR7,i136059,d,ah,r,FBLV0,F,DR7,i99043,d,aa,r,MDWD0,M,DR2,B1
t00000098530,TEST/DR1/FELC0/SX36,1.0025,1.2896,TEST/DR1/FELC0/SX306,1.2825,1.5324,TRAIN/DR5/FSKP0/SX288,0.7425,1.0757,AB,FALSE,i43806,k,aa,m,FELC0,F,DR1,i44051,k,ah,m,FELC0,F,DR1,i124645,k,aa,m,FSKP0,F,DR5,B2
t00000012734,TRAIN/DR7/MRMG0/SX270,0.3968,0.6434,TRAIN/DR7/MRMG0/SX360,2.48,2.8475,TEST/DR4/FJMG0/SX101,3.4925,3.765,AB,FALSE,i151284,hh,aa,l,MRMG0,M,DR7,i151280,hh,ah,l,MRMG0,M,DR7,i3801,hh,aa,l,FJMG0,F,DR4,B3
t00000007711,TRAIN/DR7/MSAH1/SX419,1.5718,1.7856,TRAIN/DR7/MSAH1/SI2309,1.5369,1.6332,TRAIN/DR2/MTAT1/SX419,2.1436,2.4912,BA,FALSE,i146182,w,aa,tcl,MSAH1,M,DR7,i146153,w,ah,tcl,MSAH1,M,DR7,i96192,w,aa,tcl,MTAT1,M,DR2,B1
t00000051162,TRAIN/DR2/MRJT0/SX328,0.8511,1.239,TRAIN/DR2/MRJT0/SI1498,1.3707,1.5931,TRAIN/DR6/FPAD0/SX446,0.1843,0.3672,BA,FALSE,i94988,t,aa,m,MRJT0,M,DR2,i94766,t,ah,m,MRJT0,M,DR2,i157507,t,aa,m,FPAD0,F,DR6,B2
t00000100328,TEST/DR3/FCMH0/SA1,2.6141,2.8025,TEST/DR3/FCMH0/SI2084,0.135,0.2675,TRAIN/DR2/MDEM0/SA1,3.0858,3.2625,BA,FALSE,i11118,w,aa,dx,FCMH0,F,DR3,i11036,w,ah,dx,FCMH0,F,DR3,i100768,w,aa,dx,MDEM0,M,DR2,B3
t00000043753,TRAIN/DR7/MBTH0/SX302,1.4606,1.7169,TRAIN/DR7/MBTH0/SA1,1.4712,1.7188,TRAIN/DR4/MRAB1/SX308,2.4483,2.7,AB,FALSE,i139814,r,aa,s,MBTH0,M,DR7,i139787,r,iy,s,MBTH0,M,DR7,i62304,r,aa,s,MRAB1,M,DR4,B1
t00000049930,TRAIN/DR2/MKAH0/SX88,2.4752,2.63,TRAIN/DR2/MKAH0/SX178,2.6559,2.8632,TEST/DR2/FJWB0/SX95,0.2611,0.4875,AB,FALSE,i104571,w,aa,n,MKAH0,M,DR2,i104488,w,iy,n,MKAH0,M,DR2,i18576,w,aa,n,FJWB0,F,DR2,B2
t00000020635,TRAIN/DR2/FJKL0/SX392,1.4619,1.6846,TRAIN/DR2/FJKL0/SI932,3.4244,3.6681,TEST/DR3/MHPG0/SI1090,2.2325,2.4775,AB,FALSE,i90980,r,aa,s,FJKL0,F,DR2,i90932,r,iy,s,FJKL0,F,DR2,i14087,r,aa,s,MHPG0,M,DR3,B3
t00000054803,TRAIN/DR7/MTLC0/SI847,0.3962,0.6225,TRAIN/DR7/MTLC0/SA2,1.5274,1.7467,TRAIN/DR4/FBAS0/SI2066,4.9025,5.3075,BA,FALSE,i152027,l,aa,r,MTLC0,M,DR7,i152138,l,iy,r,MTLC0,M,DR7,i63739,l,aa,r,FBAS0,F,DR4,B1
t00000056359,TRAIN/DR3/MMEB0/SI1357,3.3775,3.5945,TRAIN/DR3/MMEB0/SA2,1.3473,1.5222,TRAIN/DR3/MDNS0/SI1011,3.2087,3.4084,BA,FALSE,i75946,l,aa,r,MMEB0,M,DR3,i75895,l,iy,r,MMEB0,M,DR3,i68731,l,aa,r,MDNS0,M,DR3,B2
t00000061634,TEST/DR2/FCMR0/SX205,1.8198,2.0966,TEST/DR2/FCMR0/SA2,2.0183,2.2898,TEST/DR4/FSEM0/SX118,1.5175,1.7625,BA,FALSE,i20646,l,aa,r,FCMR0,F,DR2,i20691,l,iy,r,FCMR0,F,DR2,i8202,l,aa,r,FSEM0,F,DR4,B3
t00000016458,TEST/DR3/MWJG0/SA1,0.6475,0.8825,TEST/DR3/MWJG0/SX224,1.1462,1.3211,TRAIN/DR3/MPRD0/SA1,0.7258,0.9925,AB,FALSE,i14589,d,aa,r,MWJG0,M,DR3,i14480,d,uh,r,MWJG0,M,DR3,i69523,d,aa,r,MPRD0,M,DR3,B1
t00000015559,TRAIN/DR5/FSJG0/SA1,1.1093,1.4725,TRAIN/DR5/FSJG0/SI940,0.1369,0.3759,TEST/DR2/MABW0/SA1,0.6118,0.8277,AB,FALSE,i113558,d,aa,r,FSJG0,F,DR5,i113355,d,uh,r,FSJG0,F,DR5,i22765,d,aa,r,MABW0,M,DR2,B2
t00000015731,TRAIN/DR5/FSJG0/SA1,1.1093,1.4725,TRAIN/DR5/FSJG0/SI940,0.1369,0.3759,TRAIN/DR7/MJJM0/SA1,0.5125,0.69,AB,FALSE,i113558,d,aa,r,FSJG0,F,DR5,i113355,d,uh,r,FSJG0,F,DR5,i153735,d,aa,r,MJJM0,M,DR7,B3
t00000100193,TEST/DR2/MRCZ0/SA1,2.355,2.5675,TEST/DR2/MRCZ0/SI2171,0.77,0.8975,TRAIN/DR3/FLJD0/SA1,2.055,2.2575,BA,FALSE,i17177,w,aa,dx,MRCZ0,M,DR2,i17269,w,uh,dx,MRCZ0,M,DR2,i89668,w,aa,dx,FLJD0,F,DR3,B1
t00000015535,TRAIN/DR5/FSJG0/SA1,1.1093,1.4725,TRAIN/DR5/FSJG0/SI940,0.1369,0.3759,TRAIN/DR1/FSJK1/SA1,0.6527,0.9295,BA,FALSE,i113558,d,aa,r,FSJG0,F,DR5,i113355,d,uh,r,FSJG0,F,DR5,i172703,d,aa,r,FSJK1,F,DR1,B2
t00000016526,TEST/DR3/MWJG0/SA1,0.6475,0.8825,TEST/DR3/MWJG0/SX224,1.1462,1.3211,TRAIN/DR7/MSAH1/SA1,0.6175,0.7792,BA,FALSE,i14589,d,aa,r,MWJG0,M,DR3,i14480,d,uh,r,MWJG0,M,DR3,i146311,d,aa,r,MSAH1,M,DR7,B3
t00000017958,TRAIN/DR2/MRFK0/SA1,0.5525,0.8041,TRAIN/DR2/MRFK0/SI2336,1.0075,1.4517,TRAIN/DR2/FMMH0/SA1,0.8459,1.0704,AB,FALSE,i110901,d,aa,r,MRFK0,M,DR2,i110840,d,uw,r,MRFK0,M,DR2,i93036,d,aa,r,FMMH0,F,DR2,B1
t00000017994,TRAIN/DR2/MRFK0/SA1,0.5525,0.8041,TRAIN/DR2/MRFK0/SI2336,1.0075,1.4517,TRAIN/DR2/FSKL0/SA1,0.5509,0.7519,AB,FALSE,i110901,d,aa,r,MRFK0,M,DR2,i110840,d,uw,r,MRFK0,M,DR2,i97517,d,aa,r,FSKL0,F,DR2,B2
t00000018167,TRAIN/DR2/MRFK0/SA1,0.5525,0.8041,TRAIN/DR2/MRFK0/SI2336,1.0075,1.4517,TRAIN/DR4/MJDC0/SA1,0.6606,0.9008,AB,FALSE,i110901,d,aa,r,MRFK0,M,DR2,i110840,d,uw,r,MRFK0,M,DR2,i59215,d,aa,r,MJDC0,M,DR4,B3
t00000017936,TRAIN/DR2/MRFK0/SA1,0.5525,0.8041,TRAIN/DR2/MRFK0/SI2336,1.0075,1.4517,TRAIN/DR5/FLJA0/SA1,1.2755,1.5324,BA,FALSE,i110901,d,aa,r,MRFK0,M,DR2,i110840,d,uw,r,MRFK0,M,DR2,i123397,d,aa,r,FLJA0,F,DR5,B1
t00000018118,TRAIN/DR2/MRFK0/SA1,0.5525,0.8041,TRAIN/DR2/MRFK0/SI2336,1.0075,1.4517,TRAIN/DR2/MEFG0/SA1,0.6971,0.9321,BA,FALSE,i110901,d,aa,r,MRFK0,M,DR2,i110840,d,uw,r,MRFK0,M,DR2,i92714,d,aa,r,MEFG0,M,DR2,B2
t00000018285,TRAIN/DR2/MRFK0/SA1,0.5525,0.8041,TRAIN/DR2/MRFK0/SI2336,1.0075,1.4517,TEST/DR7/MNLS0/SA1,0.6275,0.8475,BA,FALSE,i110901,d,aa,r,MRFK0,M,DR2,i110840,d,uw,r,MRFK0,M,DR2,i37946,d,aa,r,MNLS0,M,DR7,B3
t00000086662,TRAIN/DR3/FGCS0/SA2,2.5143,2.8356,TRAIN/DR3/FGCS0/SX136,1.0074,1.2238,TRAIN/DR8/FNKL0/SA2,1.4987,1.859,AB,FALSE,i79096,r,ae,g,FGCS0,F,DR3,i78954,r,aa,g,FGCS0,F,DR3,i177272,r,ae,g,FNKL0,F,DR8,B1
t00000102551,TRAIN/DR6/FKLC1/SA2,0.7925,1.0939,TRAIN/DR6/FKLC1/SX328,1.6866,1.8929,TRAIN/DR6/FRJB0/SA2,0.78,1.0626,AB,FALSE,i166085,k,ae,r,FKLC1,F,DR6,i166180,k,aa,r,FKLC1,F,DR6,i164360,k,ae,r,FRJB0,F,DR6,B2
t00000102457,TRAIN/DR6/FHXS0/SA2,0.8175,1.1932,TRAIN/DR6/FHXS0/SI1075,2.6834,3.105,TRAIN/DR1/FSMA0/SA2,0.8575,1.1694,AB,FALSE,i161180,k,ae,r,FHXS0,F,DR6,i161023,k,aa,r,FHXS0,F,DR6,i174735,k,ae,r,FSMA0,F,DR1,B3
t00000095506,TRAIN/DR4/MSFH0/SA2,2.3159,2.7325,TRAIN/DR4/MSFH0/SX136,1.0679,1.3025,TEST/DR4/MKCL0/SA2,1.6318,1.9875,BA,FALSE,i64557,r,ae,g,MSFH0,M,DR4,i64411,r,aa,g,MSFH0,M,DR4,i3345,r,ae,g,MKCL0,M,DR4,B1
t00000091237,TRAIN/DR2/MMAG0/SA2,1.5822,1.9895,TRAIN/DR2/MMAG0/SX136,1.0075,1.2325,TRAIN/DR4/FPAF0/SA2,1.6073,1.9256,BA,FALSE,i109725,r,ae,g,MMAG0,M,DR2,i109578,r,aa,g,MMAG0,M,DR2,i65663,r,ae,g,FPAF0,F,DR4,B2
t00000105479,TRAIN/DR7/MTML0/SX75,0.6206,0.8334,TRAIN/DR7/MTML0/SX435,1.5925,1.8589,TRAIN/DR6/MTJU0/SI760,0.4475,0.721,BA,FALSE,i146038,k,ae,n,MTML0,M,DR7,i145924,k,aa,n,MTML0,M,DR7,i156382,k,ae,n,MTJU0,M,DR6,B3
t00000089910,TEST/DR8/MSLB0/SA2,1.5561,1.9475,TEST/DR8/MSLB0/SX383,2.1625,2.4337,TRAIN/DR2/MHRM0/SA2,1.4313,1.6894,AB,FALSE,i47796,r,ae,g,MSLB0,M,DR8,i47688,r,ah,g,MSLB0,M,DR8,i94235,r,ae,g,MHRM0,M,DR2,B1
t00000092931,TEST/DR1/MWBT0/SA2,1.6919,2.1152,TEST/DR1/MWBT0/SX383,3.1302,3.5475,TRAIN/DR5/MMAB1/SA2,1.6475,2.0651,AB,FALSE,i43355,r,ae,g,MWBT0,M,DR1,i43317,r,ah,g,MWBT0,M,DR1,i119384,r,ae,g,MMAB1,M,DR5,B2
t00000082910,TRAIN/DR8/FCEG0/SA2,1.5012,1.7803,TRAIN/DR8/FCEG0/SX78,1.0213,1.1904,TEST/DR2/FCMR0/SA2,2.1619,2.5613,AB,FALSE,i178923,r,ae,g,FCEG0,F,DR8,i178846,r,ah,g,FCEG0,F,DR8,i20693,r,ae,g,FCMR0,F,DR2,B3
t00000082998,TRAIN/DR8/FCEG0/SA2,1.5012,1.7803,TRAIN/DR8/FCEG0/SX78,1.0213,1.1904,TRAIN/DR8/FMBG0/SA2,1.6553,1.9425,BA,FALSE,i178923,r,ae,g,FCEG0,F,DR8,i178846,r,ah,g,FCEG0,F,DR8,i179231,r,ae,g,FMBG0,F,DR8,B1
t00000086372,TRAIN/DR2/MJDE0/SA2,2.1825,2.6775,TRAIN/DR2/MJDE0/SI463,1.4025,1.8,TRAIN/DR2/MKDT0/SA2,1.5378,1.8788,BA,FALSE,i94539,r,ae,g,MJDE0,M,DR2,i94406,r,ah,g,MJDE0,M,DR2,i91672,r,ae,g,MKDT0,M,DR2,B2
t00000085583,TRAIN/DR3/MKLS1/SA2,1.6841,2.0469,TRAIN/DR3/MKLS1/SI915,3.8324,4.2038,TRAIN/DR3/FDFB0/SA2,1.4203,1.7486,BA,FALSE,i90614,r,ae,g,MKLS1,M,DR3,i90796,r,ah,g,MKLS1,M,DR3,i80514,r,ae,g,FDFB0,F,DR3,B3
t00000106709,TEST/DR7/FGWR0/SI2208,2.0138,2.2481,TEST/DR7/FGWR0/SX228,1.7363,1.8794,TRAIN/DR5/FLMK0/SA2,2.5712,2.9075,AB,FALSE,i33291,dh,ae,q,FGWR0,F,DR7,i33474,dh,iy,q,FGWR0,F,DR7,i118785,dh,ae,q,FLMK0,F,DR5,B1
t00000051357,TRAIN/DR5/MBGT0/SA2,0.3725,0.6869,TRAIN/DR5/MBGT0/SI1841,3.0417,3.2769,TRAIN/DR4/MJPM1/SA2,0.4225,0.7219,AB,FALSE,i131652,nx,ae,s,MBGT0,M,DR5,i131533,nx,iy,s,MBGT0,M,DR5,i56303,nx,ae,s,MJPM1,M,DR4,B2
t00000093723,TRAIN/DR5/MTAT0/SA2,1.4308,1.765,TRAIN/DR5/MTAT0/SI811,0.8975,1.1122,TRAIN/DR3/FSKC0/SA2,1.8058,2.1256,AB,FALSE,i116140,r,ae,g,MTAT0,M,DR5,i116152,r,iy,g,MTAT0,M,DR5,i85857,r,ae,g,FSKC0,F,DR3,B3
t00000011609,TRAIN/DR4/MJDC0/SA2,1.7963,2.1514,TRAIN/DR4/MJDC0/SI1161,0.2475,0.4308,TRAIN/DR2/MRJH0/SA2,2.0174,2.4288,BA,FALSE,i59207,dh,ae,tcl,MJDC0,M,DR4,i59100,dh,iy,tcl,MJDC0,M,DR4,i100371,dh,ae,tcl,MRJH0,M,DR2,B1
t00000076985,TEST/DR4/MTEB0/SA2,0.295,0.5544,TEST/DR4/MTEB0/SX413,0.445,0.7662,TRAIN/DR5/MGES0/SA2,0.2321,0.4593,BA,FALSE,i3932,n,ae,s,MTEB0,M,DR4,i4038,n,iy,s,MTEB0,M,DR4,i116410,n,ae,s,MGES0,M,DR5,B2
t00000011342,TRAIN/DR4/MJDC0/SA2,1.7963,2.1514,TRAIN/DR4/MJDC0/SI1161,0.2475,0.4308,TRAIN/DR7/FREH0/SX325,1.3354,1.5411,BA,FALSE,i59207,dh,ae,tcl,MJDC0,M,DR4,i59100,dh,iy,tcl,MJDC0,M,DR4,i142821,dh,ae,tcl,FREH0,F,DR7,B3
t00000074840,TRAIN/DR5/MWSH0/SA1,0.3472,0.5681,TRAIN/DR5/MWSH0/SI2266,0.7232,0.9243,TEST/DR2/FJRE0/SA1,0.2976,0.5041,AB,FALSE,i126711,hv,ae,dcl,MWSH0,M,DR5,i126664,hv,uh,dcl,MWSH0,M,DR5,i24198,hv,ae,dcl,FJRE0,F,DR2,B1
t00000076117,TRAIN/DR2/MCTM0/SX450,2.7356,3.0725,TRAIN/DR2/MCTM0/SI1980,3.6629,4.0415,TRAIN/DR6/FLAG0/SX294,1.0809,1.4138,AB,FALSE,i112217,r,ae,f,MCTM0,M,DR2,i112277,r,uh,f,MCTM0,M,DR2,i158168,r,ae,f,FLAG0,F,DR6,B2
t00000075016,TRAIN/DR5/MWSH0/SI2266,0.9243,1.36,TRAIN/DR5/MWSH0/SI2266,0.7232,0.9243,TEST/DR5/MDRB0/SI2109,1.6371,1.9375,AB,FALSE,i126667,hv,ae,dcl,MWSH0,M,DR5,i126664,hv,uh,dcl,MWSH0,M,DR5,i24593,hv,ae,dcl,MDRB0,M,DR5,B3
t00000074991,TRAIN/DR5/MWSH0/SA1,0.3472,0.5681,TRAIN/DR5/MWSH0/SI2266,0.7232,0.9243,TEST/DR2/MDBB0/SA1,0.42,0.6866,BA,FALSE,i126711,hv,ae,dcl,MWSH0,M,DR5,i126664,hv,uh,dcl,MWSH0,M,DR5,i22448,hv,ae,dcl,MDBB0,M,DR2,B1
t00000075034,TRAIN/DR5/MWSH0/SA1,0.3472,0.5681,TRAIN/DR5/MWSH0/SI2266,0.7232,0.9243,TEST/DR5/MFGK0/SA1,0.4075,0.6579,BA,FALSE,i126711,hv,ae,dcl,MWSH0,M,DR5,i126664,hv,uh,dcl,MWSH0,M,DR5,i29041,hv,ae,dcl,MFGK0,M,DR5,B2
t00000074962,TRAIN/DR5/MWSH0/SA1,0.3472,0.5681,TRAIN/DR5/MWSH0/SI2266,0.7232,0.9243,TRAIN/DR7/MBOM0/SA1,0.3358,0.57,BA,FALSE,i126711,hv,ae,dcl,MWSH0,M,DR5,i126664,hv,uh,dcl,MWSH0,M,DR5,i148558,hv,ae,dcl,MBOM0,M,DR7,B3
